,bullishness,fract_negative,fract_positive,n_negative,n_positive,n_token,rating,style
166,0.0377,0.0196078431372549,0.058823529411764705,2,6,102,4.23,American Pale Lager
167,0.0883,0.031746031746031744,0.12698412698412698,2,8,63,4.0,American Pale Lager
168,0.0625,0.03333333333333333,0.1,1,3,30,4.43,American Pale Lager
169,0.04,0.0,0.04081632653061224,0,2,49,4.44,American Pale Lager
170,0.0859,0.03571428571428571,0.12857142857142856,5,18,140,4.65,American Pale Lager
171,0.0765,0.011494252873563218,0.09195402298850575,1,8,87,4.5,American Pale Lager
172,0.0,0.037037037037037035,0.037037037037037035,3,3,81,4.4,American Pale Lager
173,0.091,0.0,0.09523809523809523,0,4,42,4.18,American Pale Lager
174,0.0536,0.02830188679245283,0.08490566037735849,3,9,106,4.34,American Pale Lager
175,0.0749,0.0,0.07777777777777778,0,7,90,3.7,American Pale Lager
176,0.1372,0.030303030303030304,0.18181818181818182,1,6,33,4.36,American Pale Lager
177,0.0462,0.016,0.064,2,8,125,4.26,American Pale Lager
178,0.091,0.0,0.09523809523809523,0,2,21,4.13,American Pale Lager
179,0.0513,0.017857142857142856,0.07142857142857142,1,4,56,4.9,American Pale Lager
180,0.077,0.02040816326530612,0.10204081632653061,1,5,49,4.29,American Pale Lager
181,0.0101,0.02768166089965398,0.03806228373702422,8,11,289,4.21,American Pale Lager
182,0.0256,0.019867549668874173,0.046357615894039736,3,7,151,4.16,American Pale Lager
183,0.0134,0.04225352112676056,0.056338028169014086,3,4,71,4.52,American Pale Lager
184,0.0493,0.01020408163265306,0.061224489795918366,1,6,98,4.35,American Pale Lager
185,0.0565,0.0,0.05813953488372093,0,5,86,4.11,American Pale Lager
186,0.0247,0.0,0.025,0,3,120,5.0,American Pale Lager
187,0.1178,0.0,0.125,0,3,24,4.33,American Pale Lager
188,0.1027,0.0136986301369863,0.1232876712328767,1,9,73,4.38,American Pale Lager
189,0.0322,0.023923444976076555,0.05741626794258373,5,12,209,3.99,American Pale Lager
190,0.0241,0.025,0.05,1,2,40,3.76,American Pale Lager
191,0.0,0.029411764705882353,0.029411764705882353,1,1,34,3.78,American Pale Lager
