,topic1,topic2,style
117,0.03604242208928962,0.0,Porter
118,0.028140609002983444,0.00451537489602573,Porter
119,0.018739805801441814,0.007632548676659918,Porter
120,0.01596137130777611,0.0016618125171145748,Porter
121,0.029740123386107632,0.005870457725398314,Porter
122,0.01726617111885097,0.0009135379731094965,Porter
123,0.02905792088791506,0.0036433113406828433,Porter
124,0.01339100006187342,0.006032697519745047,Porter
125,0.022681548127354144,0.007175844071491657,Porter
126,0.014924869892337631,0.0049483491056549755,Porter
127,0.015315952853301272,0.0,Porter
128,0.017595434829245863,0.002471739010213921,Porter
129,0.022828069523258766,0.0,Porter
130,0.022934157427966916,0.0,Porter
131,0.02556412125768632,0.006105318876935559,Porter
132,0.03547932972299513,0.0,Porter
133,0.034237034321509846,0.003365883034955901,Porter
134,0.028465267335434377,0.0035026621982706847,Porter
135,0.01859753648025027,0.008844888646876067,Porter
136,0.0017332521334633452,0.0014880358996453057,Porter
137,0.032565636023799915,0.009180639401272344,Porter
138,0.030079883495572238,0.0037424494944749706,Porter
139,0.02769623929950384,0.005436735964277008,Porter
140,0.025915986574906305,0.0,Porter
141,0.003794857380360126,0.000697255194065209,Porter
142,0.03883181100732352,0.0,Porter
143,0.020053797331734593,0.0,Porter
144,0.02280325566401291,0.0,Porter
145,0.028992749670612897,0.0,Porter
146,0.027391794455968566,0.0,Porter
147,0.03089776370452776,0.003043607180979056,Porter
148,0.024602862239088544,0.0,Porter
149,0.022752697279744098,0.004684126627784163,Porter
150,0.012673184962736471,0.003118278289424153,Porter
151,0.023254411933202646,0.0,Porter
152,0.030002302766078445,0.0,Porter
153,0.029801474987464802,0.003111340278836919,Porter
154,0.031094064273747474,0.0006818985004977244,Porter
155,0.043271529041341794,0.0,Porter
156,0.036213898554407715,0.0,Porter
157,0.027486311841205886,0.0007211613092391696,Porter
158,0.029850384535049096,0.0026546680004117997,Porter
159,0.021919914999722897,0.0,Porter
160,0.02587198699077337,0.0,Porter
161,0.028381219415397837,0.0163503572788629,Porter
162,0.01833737701163199,0.0018202152185800306,Porter
163,0.003934324239296425,0.006981423962906211,Porter
164,0.004639287064843075,0.002043145133365571,Porter
165,0.030969093498183744,0.0,Porter
166,0.02760567741003439,0.00877302111964754,Porter
167,0.02180430876270269,0.0,Porter
168,0.026539358769834345,0.009515154045181544,Porter
169,0.02001905207909799,0.006055534894510991,Porter
170,0.014369891210107497,0.0024696345247116045,Porter
171,0.019175883863088383,0.0018379330625933293,Porter
172,0.0088055628061688,0.010857036051108042,Porter
